##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_028_i7-IDT8_UDI_028_i5_6797-RN-0005.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	275148153
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.55823467221312	37.0	37.0	37.0	37.0	37.0
2	35.73774689303475	37.0	37.0	37.0	37.0	37.0
3	35.87383943296904	37.0	37.0	37.0	37.0	37.0
4	35.901369943050284	37.0	37.0	37.0	37.0	37.0
5	35.9639774103808	37.0	37.0	37.0	37.0	37.0
6	35.9785420838351	37.0	37.0	37.0	37.0	37.0
7	35.99852825106916	37.0	37.0	37.0	37.0	37.0
8	35.995385518724525	37.0	37.0	37.0	37.0	37.0
9	35.98108565169979	37.0	37.0	37.0	37.0	37.0
10-14	35.98888792322731	37.0	37.0	37.0	37.0	37.0
15-19	35.9553010017843	37.0	37.0	37.0	37.0	37.0
20-24	35.92398865421423	37.0	37.0	37.0	37.0	37.0
25-29	35.82324672991718	37.0	37.0	37.0	37.0	37.0
30-34	35.75793404072024	37.0	37.0	37.0	37.0	37.0
35-39	35.703176011506784	37.0	37.0	37.0	37.0	37.0
40-44	35.65310794435898	37.0	37.0	37.0	37.0	37.0
45-49	35.61007141051025	37.0	37.0	37.0	37.0	37.0
50-54	35.576161316990564	37.0	37.0	37.0	37.0	37.0
55-59	35.53188869634171	37.0	37.0	37.0	37.0	37.0
60-64	35.46686992661732	37.0	37.0	37.0	37.0	37.0
65-69	35.410912300036415	37.0	37.0	37.0	37.0	37.0
70-74	35.390255757958876	37.0	37.0	37.0	37.0	37.0
75-79	35.33763803749757	37.0	37.0	37.0	37.0	37.0
80-84	35.27491385849863	37.0	37.0	37.0	34.6	37.0
85-89	35.213603935040766	37.0	37.0	37.0	27.4	37.0
90-94	35.1724873566569	37.0	37.0	37.0	25.0	37.0
95-99	35.09704427490742	37.0	37.0	37.0	25.0	37.0
100-104	35.043338557318975	37.0	37.0	37.0	25.0	37.0
105-109	34.953899855544364	37.0	37.0	37.0	25.0	37.0
110-114	34.895928695548974	37.0	37.0	37.0	25.0	37.0
115-119	34.773682561481706	37.0	37.0	37.0	25.0	37.0
120-124	34.71211645676575	37.0	37.0	37.0	25.0	37.0
125-129	34.64734713083827	37.0	37.0	37.0	25.0	37.0
130-134	34.53944111774575	37.0	37.0	37.0	25.0	37.0
135-139	34.51854535472749	37.0	37.0	37.0	25.0	37.0
140-144	34.35660939435781	37.0	37.0	37.0	25.0	37.0
145-149	34.31197219848319	37.0	37.0	37.0	25.0	37.0
150-151	33.95998084166678	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.1475581816135545
1101	2	-0.0390959912742872
1101	3	-0.005335027779700852
1101	4	-0.09206027050483812
1101	5	-0.0811249367352147
1101	6	0.004589731360987059
1101	7	-0.002833381676353497
1101	8	-0.0065652167606486955
1101	9	-0.046943843777775385
1101	10-14	-0.046561475044754275
1101	15-19	-0.038282076491682915
1101	20-24	-0.00721189658930399
1101	25-29	-0.03274659867206253
1101	30-34	-0.02565020597907619
1101	35-39	-0.06620144729777167
1101	40-44	-0.05550261239730503
1101	45-49	-0.054897301266997545
1101	50-54	-0.055225334309440655
1101	55-59	-0.06828118919425208
1101	60-64	-0.03512573354428383
1101	65-69	-0.06666041749677731
1101	70-74	-0.07269453012748528
1101	75-79	-0.017822910329478248
1101	80-84	-0.04681044130664702
1101	85-89	-0.05284420596673556
1101	90-94	-0.0654774647917975
1101	95-99	-0.08267856846043031
1101	100-104	-0.04329526391106242
1101	105-109	-0.048194758492343226
1101	110-114	-0.06933988878452624
1101	115-119	-0.15587190067826384
1101	120-124	-0.16093538331977442
1101	125-129	-0.08705202754113373
1101	130-134	-0.09645298817416403
1101	135-139	-0.07185958038473927
1101	140-144	-0.10487945330962845
1101	145-149	-0.07523031505359512
1101	150-151	-0.12629307242705323
1102	1	-0.11470265671016477
1102	2	-0.11164493182618429
1102	3	-0.006729563245791326
1102	4	-0.04025715301118282
1102	5	-0.06753236694806475
1102	6	-0.058744851132296105
1102	7	-0.053072981621653526
1102	8	-0.05043813055883106
1102	9	-0.0669710095288778
1102	10-14	-0.03489988152730206
1102	15-19	-0.030091189314546796
1102	20-24	-0.006815120274850983
1102	25-29	-0.015436352608837467
1102	30-34	-0.01814534637593823
1102	35-39	-0.023523139217530797
1102	40-44	-0.031005212201463905
1102	45-49	-0.030451371508320335
1102	50-54	-0.016514398046766132
1102	55-59	-0.05233839243406635
1102	60-64	-0.05912749036502163
1102	65-69	-0.06656133379242135
1102	70-74	-0.012627627361766258
1102	75-79	-0.03461983192747198
1102	80-84	-0.04394255220550036
1102	85-89	-0.05387797768580782
1102	90-94	-0.07028228991666907
1102	95-99	-0.0879808585918056
1102	100-104	-0.029964036202414945
1102	105-109	-0.075767464059453
1102	110-114	-0.040739831905291624
1102	115-119	-0.10248462519325585
1102	120-124	-0.11884840101297556
1102	125-129	-0.009896133269364782
1102	130-134	-0.06717452136935265
1102	135-139	-0.031865302742893675
1102	140-144	-0.045849964157511636
1102	145-149	-0.04481837755725593
1102	150-151	-0.08388307482677959
1103	1	-0.03976741238221848
1103	2	-0.04920806497391794
1103	3	0.010424248184918383
1103	4	0.02018202315330342
1103	5	-0.04657671465454172
1103	6	0.031443865397697834
1103	7	0.05044930072276088
1103	8	0.01879783969133797
1103	9	-0.05549380526905168
1103	10-14	-0.019280445332704232
1103	15-19	-0.010892241678973846
1103	20-24	-0.019713946439054553
1103	25-29	-0.002874817768635296
