##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_2_IDT8_UDI_030_i7-IDT8_UDI_030_i5_6797-RN-0007.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	390608355
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.32074584784547	37.0	37.0	37.0	37.0	37.0
2	35.62217711651355	37.0	37.0	37.0	37.0	37.0
3	35.62940477553277	37.0	37.0	37.0	37.0	37.0
4	35.65499976824613	37.0	37.0	37.0	37.0	37.0
5	35.664834245545	37.0	37.0	37.0	37.0	37.0
6	35.694942577457155	37.0	37.0	37.0	37.0	37.0
7	35.69103901528169	37.0	37.0	37.0	37.0	37.0
8	35.655990038922745	37.0	37.0	37.0	37.0	37.0
9	35.67987558791465	37.0	37.0	37.0	37.0	37.0
10-14	35.67889783514743	37.0	37.0	37.0	37.0	37.0
15-19	35.68726962432741	37.0	37.0	37.0	37.0	37.0
20-24	35.656827078878024	37.0	37.0	37.0	37.0	37.0
25-29	35.55364701965989	37.0	37.0	37.0	37.0	37.0
30-34	35.48900279155575	37.0	37.0	37.0	37.0	37.0
35-39	35.42763011405631	37.0	37.0	37.0	37.0	37.0
40-44	35.37084954314405	37.0	37.0	37.0	37.0	37.0
45-49	35.3292593989701	37.0	37.0	37.0	37.0	37.0
50-54	35.265166962954495	37.0	37.0	37.0	37.0	37.0
55-59	35.094523600756055	37.0	37.0	37.0	25.0	37.0
60-64	35.064720715971376	37.0	37.0	37.0	25.0	37.0
65-69	35.038173034982826	37.0	37.0	37.0	25.0	37.0
70-74	34.96454286084075	37.0	37.0	37.0	25.0	37.0
75-79	34.887076262360026	37.0	37.0	37.0	25.0	37.0
80-84	34.799703827123714	37.0	37.0	37.0	25.0	37.0
85-89	34.78376752745087	37.0	37.0	37.0	25.0	37.0
90-94	34.6907457220161	37.0	37.0	37.0	25.0	37.0
95-99	34.61092113659473	37.0	37.0	37.0	25.0	37.0
100-104	34.55449677670105	37.0	37.0	37.0	25.0	37.0
105-109	34.42263496488702	37.0	37.0	37.0	25.0	37.0
110-114	34.40133603542607	37.0	37.0	37.0	25.0	37.0
115-119	34.327404441208124	37.0	37.0	37.0	25.0	37.0
120-124	34.236205559402336	37.0	37.0	37.0	25.0	37.0
125-129	34.118774095858754	37.0	37.0	37.0	25.0	37.0
130-134	33.954085989276905	37.0	37.0	37.0	25.0	37.0
135-139	33.91622449294512	37.0	37.0	37.0	25.0	37.0
140-144	33.82924601343973	37.0	37.0	37.0	25.0	37.0
145-149	33.712178478619585	37.0	37.0	37.0	25.0	37.0
150-151	33.317510079885515	37.0	37.0	37.0	18.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.23866942400412228
1101	2	0.021896978059572803
1101	3	-0.04487277972766179
1101	4	-0.028334069992787647
1101	5	0.022511539860936125
1101	6	-0.025925040462034588
1101	7	-0.03780446473184185
1101	8	0.005549757228720864
1101	9	0.008772481867559634
1101	10-14	-0.009837985199091293
1101	15-19	0.018815075470214992
1101	20-24	0.016324608747524394
1101	25-29	0.016854190663195823
1101	30-34	0.03700461820022838
1101	35-39	0.05366508679239956
1101	40-44	0.05973213399308008
1101	45-49	0.018742517528323788
1101	50-54	0.03067194472144763
1101	55-59	0.12232519037292633
1101	60-64	0.10896096679294942
1101	65-69	0.06986328208679993
1101	70-74	0.11515121162972974
1101	75-79	0.088143595233106
1101	80-84	0.13736493351202483
1101	85-89	0.16229538939816734
1101	90-94	0.20269731812034308
1101	95-99	0.15263044252164093
1101	100-104	0.21762257692594744
1101	105-109	0.23812589592051125
1101	110-114	0.26072154981820717
1101	115-119	0.2388940802985573
1101	120-124	0.24740522381321028
1101	125-129	0.3360974306056761
1101	130-134	0.4084635041600251
1101	135-139	0.3503450795039029
1101	140-144	0.4203443115979155
1101	145-149	0.4105654587726235
1101	150-151	0.5892540850762202
1102	1	-0.09564528431565122
1102	2	-0.04948418622679185
1102	3	-0.004280498113715225
1102	4	-0.024248043380246997
1102	5	0.04582687803100782
1102	6	-0.0764981942115952
1102	7	0.026412890018740143
1102	8	-0.029026358772910044
1102	9	-0.015239647929512046
1102	10-14	0.004206966620941444
1102	15-19	-0.01670427392861029
1102	20-24	0.032902060707833414
1102	25-29	0.007095733995825526
1102	30-34	-0.00399731309592255
1102	35-39	0.029808490478920646
1102	40-44	0.07331366647132853
1102	45-49	0.05156155938658458
1102	50-54	0.03041771443784569
1102	55-59	0.11588560199162856
1102	60-64	0.12855110500576927
1102	65-69	0.08252061147791778
1102	70-74	0.14199282788361955
1102	75-79	0.10109427488870182
1102	80-84	0.10347374592670633
1102	85-89	0.14674224499425748
1102	90-94	0.14408433054373404
1102	95-99	0.16263867061154968
1102	100-104	0.23378556202295186
1102	105-109	0.2640406343759807
1102	110-114	0.2272718306885082
1102	115-119	0.24015038855903725
1102	120-124	0.3107644423355893
1102	125-129	0.3563270110778589
1102	130-134	0.42136724039735896
1102	135-139	0.3577557894781691
1102	140-144	0.4320031308460628
1102	145-149	0.4829072420795626
1102	150-151	0.5637290623930937
1103	1	-0.21401647233479082
1103	2	-0.03229016206841351
1103	3	-0.05330517098263243
1103	4	0.014708078124769486
1103	5	-0.05601341833249052
1103	6	-0.05247569423618614
1103	7	0.029500264130938092
1103	8	0.003661729157464322
1103	9	0.03927743679660978
1103	10-14	0.028957773909048967
1103	15-19	0.030927355248721256
1103	20-24	0.0430540401722439
1103	25-29	-0.010645310097416427
1103	30-34	-0.003499183163491182
1103	35-39	0.029578008873301087
1103	40-44	0.026195804526452093
1103	45-49	0.04851994679693661
